,index,Participant ID,Song ID,Ornamentation,Grooviness,Familiarity,Liking,Consonance,Valence,Excitement,Vocal Range,Sound Quality,Tempo,Rhythmic Regularity,Vocal Tension,Vocal Texture
87,2,106,7,50.0,0.0,50.0,50.0,100.0,50.0,100.0,100.0,50.0,0.0,0.0,0.0,0.0
88,3,106,8,50.0,0.0,50.0,100.0,50.0,100.0,100.0,100.0,50.0,100.0,50.0,50.0,0.0
89,4,106,9,0.0,100.0,50.0,100.0,100.0,100.0,50.0,100.0,50.0,50.0,50.0,100.0,0.0
90,0,107,5,0.0,50.0,50.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,50.0
91,1,107,6,0.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0
92,2,107,7,50.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0,50.0,0.0,50.0,0.0,100.0
93,3,107,8,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0
94,4,107,9,0.0,50.0,50.0,100.0,100.0,100.0,50.0,50.0,0.0,100.0,100.0,50.0,50.0
95,0,108,5,0.0,100.0,50.0,100.0,100.0,50.0,0.0,50.0,50.0,50.0,100.0,100.0,50.0
96,1,108,6,0.0,100.0,100.0,50.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0
97,2,108,7,50.0,0.0,100.0,50.0,0.0,100.0,50.0,100.0,50.0,0.0,50.0,0.0,100.0
98,3,108,8,50.0,50.0,50.0,50.0,50.0,100.0,50.0,100.0,0.0,100.0,50.0,100.0,100.0
99,4,108,9,0.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,50.0,50.0,50.0,50.0,100.0
100,0,109,5,0.0,50.0,0.0,100.0,50.0,100.0,50.0,0.0,50.0,100.0,100.0,100.0,50.0
101,1,109,6,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
102,2,109,7,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0
103,3,109,8,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0
104,4,109,9,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0
105,0,200,10,0.0,50.0,50.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0
106,1,200,11,50.0,0.0,50.0,0.0,0.0,0.0,100.0,50.0,50.0,0.0,50.0,0.0,50.0
107,2,200,12,50.0,0.0,50.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
108,3,200,13,100.0,0.0,50.0,0.0,100.0,50.0,50.0,50.0,50.0,100.0,50.0,0.0,50.0
109,4,200,14,0.0,50.0,100.0,50.0,100.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0
110,0,201,10,0.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,100.0
111,1,201,11,50.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,50.0,50.0,0.0,100.0
112,2,201,12,50.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,50.0,50.0,0.0,50.0
113,3,201,13,100.0,50.0,50.0,50.0,100.0,50.0,0.0,50.0,0.0,100.0,50.0,50.0,50.0
114,4,201,14,0.0,100.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,50.0,100.0
115,0,202,10,0.0,0.0,50.0,100.0,50.0,100.0,50.0,50.0,0.0,50.0,50.0,50.0,100.0
116,1,202,11,50.0,0.0,50.0,50.0,100.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0,50.0
117,2,202,12,50.0,0.0,50.0,100.0,0.0,50.0,100.0,50.0,0.0,100.0,50.0,50.0,100.0
118,3,202,13,100.0,0.0,100.0,50.0,100.0,100.0,0.0,100.0,50.0,50.0,50.0,50.0,50.0
119,4,202,14,0.0,100.0,50.0,50.0,100.0,100.0,100.0,50.0,0.0,50.0,50.0,50.0,100.0
120,0,203,10,0.0,100.0,100.0,100.0,50.0,100.0,0.0,50.0,0.0,50.0,100.0,100.0,50.0
121,1,203,11,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,0.0,50.0
122,2,203,12,50.0,0.0,100.0,50.0,50.0,50.0,100.0,50.0,50.0,100.0,100.0,100.0,100.0
123,3,203,13,100.0,50.0,50.0,50.0,100.0,50.0,0.0,50.0,0.0,50.0,50.0,100.0,50.0
124,4,203,14,0.0,100.0,50.0,50.0,100.0,50.0,100.0,50.0,0.0,100.0,50.0,0.0,50.0
125,0,204,10,0.0,0.0,100.0,100.0,50.0,100.0,50.0,50.0,0.0,50.0,100.0,50.0,50.0
126,1,204,11,50.0,0.0,100.0,0.0,0.0,50.0,100.0,50.0,50.0,0.0,0.0,0.0,50.0
127,2,204,12,50.0,0.0,50.0,100.0,0.0,0.0,50.0,50.0,50.0,100.0,100.0,50.0,100.0
128,3,204,13,100.0,0.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
129,4,204,14,0.0,50.0,50.0,50.0,100.0,50.0,0.0,100.0,0.0,50.0,50.0,100.0,100.0
130,0,205,10,0.0,50.0,50.0,0.0,100.0,100.0,50.0,0.0,50.0,50.0,100.0,100.0,100.0
131,1,205,11,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0
132,2,205,12,50.0,0.0,50.0,100.0,50.0,100.0,100.0,50.0,0.0,100.0,100.0,100.0,100.0
133,3,205,13,100.0,0.0,100.0,50.0,100.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.0
134,4,205,14,0.0,50.0,100.0,50.0,100.0,100.0,50.0,50.0,50.0,100.0,0.0,50.0,100.0
135,0,206,10,0.0,0.0,0.0,100.0,50.0,100.0,50.0,0.0,50.0,50.0,50.0,50.0,100.0
136,1,206,11,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,0.0
137,2,206,12,50.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0,0.0,100.0,100.0,0.0,100.0
138,3,206,13,100.0,0.0,50.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
139,4,206,14,0.0,50.0,100.0,50.0,100.0,100.0,100.0,100.0,50.0,50.0,100.0,50.0,50.0
140,0,207,10,0.0,50.0,50.0,50.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
141,1,207,11,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0
142,2,207,12,50.0,0.0,100.0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,100.0,100.0,100.0
143,3,207,13,100.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0
144,4,207,14,0.0,100.0,50.0,50.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0
145,0,208,10,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,100.0,50.0,0.0,100.0
146,1,208,11,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0
147,2,208,12,50.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0,50.0,100.0,50.0,0.0,0.0
148,3,208,13,50.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,100.0,100.0,50.0,0.0,100.0
149,4,208,14,0.0,50.0,50.0,50.0,100.0,100.0,50.0,100.0,50.0,100.0,50.0,100.0,0.0
150,0,209,10,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
151,1,209,11,100.0,0.0,50.0,50.0,50.0,0.0,50.0,100.0,50.0,50.0,50.0,0.0,50.0
152,2,209,12,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
153,3,209,13,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
154,4,209,14,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0
155,0,300,15,50.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,100.0,100.0,50.0
156,1,300,16,50.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,100.0
157,2,300,17,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,50.0
158,3,300,18,100.0,50.0,50.0,50.0,100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,50.0
159,4,300,19,100.0,0.0,50.0,50.0,100.0,50.0,100.0,100.0,0.0,50.0,50.0,50.0,100.0
160,0,301,15,50.0,100.0,100.0,100.0,100.0,100.0,0.0,50.0,100.0,100.0,100.0,100.0,50.0
161,1,301,16,100.0,0.0,50.0,0.0,0.0,0.0,100.0,100.0,0.0,50.0,100.0,0.0,50.0
162,2,301,17,0.0,0.0,0.0,100.0,50.0,50.0,100.0,100.0,100.0,50.0,100.0,0.0,100.0
